id,name,parent_collection,resource_type,tasks,domain,series_structure,multivariate,frequency,num_series,min_length,max_length,missing_values,license,access,source_url,citation_url,last_verified,notes
pedestrian-counts,Pedestrian Counts,Monash Time Series Forecasting Archive,dataset,forecasting,transport,collection of time series,no,hourly,66,576,96424,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
vehicle-trips,Vehicle Trips,Monash Time Series Forecasting Archive,dataset,forecasting,transport,collection of time series,no,,329,70,243,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
kdd-cup-2018,KDD Cup 2018,Monash Time Series Forecasting Archive,dataset,forecasting,nature,collection of time series,no,,270,9504,10920,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive. competition dataset
weather-monash,Weather,Monash Time Series Forecasting Archive,dataset,forecasting,nature,collection of time series,no,daily,3010,1332,65981,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
nn5,NN5,Monash Time Series Forecasting Archive,dataset,forecasting,banking,collection of time series,yes,daily;weekly,111,791,791,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive. competition dataset
web-traffic,Web Traffic,Monash Time Series Forecasting Archive,dataset,forecasting,web,collection of time series,yes,daily;weekly,145063,803,803,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive. competition dataset
solar-monash,Solar,Monash Time Series Forecasting Archive,dataset,forecasting,energy,collection of time series,yes,10-minute;weekly,137,52560,52560,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
electricity-monash,Electricity,Monash Time Series Forecasting Archive,dataset,forecasting,energy,collection of time series,yes,hourly;weekly,321,26304,26304,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
car-parts,Car Parts,Monash Time Series Forecasting Archive,dataset,forecasting,sales,collection of time series,yes,,2674,51,51,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
fred-md,FRED-MD,Monash Time Series Forecasting Archive,dataset,forecasting,economic,collection of time series,yes,monthly,107,728,728,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
san-francisco-traffic,San Francisco Traffic,Monash Time Series Forecasting Archive,dataset,forecasting,transport,collection of time series,yes,hourly;weekly,862,17544,17544,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
rideshare,Rideshare,Monash Time Series Forecasting Archive,dataset,forecasting,transport,collection of time series,yes,,2304,541,541,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
hospital,Hospital,Monash Time Series Forecasting Archive,dataset,forecasting,health,collection of time series,yes,monthly,767,84,84,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
covid-deaths,COVID Deaths,Monash Time Series Forecasting Archive,dataset,forecasting,health;epidemiology,collection of time series,yes,daily,266,212,212,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
temperature-rain,Temperature Rain,Monash Time Series Forecasting Archive,dataset,forecasting,climate;environment,collection of time series,yes,,32072,725,725,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
sunspot,Sunspot,Monash Time Series Forecasting Archive,dataset,forecasting,climate;astronomy,single time series,no,,1,73931,73931,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
saugeen-river-flow,Saugeen River Flow,Monash Time Series Forecasting Archive,dataset,forecasting,climate;hydrology,single time series,no,daily,1,23741,23741,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
us-births,US Births,Monash Time Series Forecasting Archive,dataset,forecasting,demography,single time series,no,daily,1,7305,7305,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
ett-small,Electricity Transformer Temperature (ETT-small),,dataset,forecasting,energy,multivariate,yes,15-minute;hourly,4 benchmark files,,,see source,See upstream repository terms,public repository,https://github.com/zhouhaoyi/ETDataset,https://arxiv.org/abs/2012.07436,2026-09-22,"ETTm1, ETTm2, ETTh1 and ETTh2; widely used in long-term forecasting work."
individual-household-power,Individual Household Electric Power Consumption,,dataset,regression;clustering;forecasting,energy,multivariate time series,yes,1-minute,1 household,2075259,2075259,yes,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption,https://doi.org/10.24432/C58K54,2026-09-22,"2,075,259 minute-level measurements over about 47 months."
appliances-energy,Appliances Energy Prediction,,dataset,regression;forecasting,energy;smart home,multivariate time series,yes,10-minute,1 building,19735,19735,no,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/374/appliances+energy+prediction,https://doi.org/10.24432/C5VC8G,2026-09-22,"Indoor temperature/humidity, appliance energy, and weather variables over about 4.5 months."
beijing-air-quality,Beijing Multi-Site Air Quality,,dataset,regression;forecasting,climate;environment,multivariate multi-site time series,yes,hourly,12 monitoring sites,,,yes,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/501/beijing,https://doi.org/10.24432/C5RK5G,2026-09-22,"420,768 hourly observations from 12 Beijing air-quality monitoring sites."
bike-sharing,Bike Sharing,,dataset,regression;forecasting,transport;mobility,multivariate temporal demand data,yes,hourly;daily,1 system,17389,17389,no,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset,https://doi.org/10.24432/C5W894,2026-09-22,Capital Bikeshare rental counts with weather and seasonal information.
uci-har,Human Activity Recognition Using Smartphones,,dataset,classification;clustering,human activity;sensors,multivariate inertial-sensor windows,yes,50 Hz,30 subjects,,,no,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/240/human+activity+recognition+using+smartphones,https://doi.org/10.24432/C54S4K,2026-09-22,Accelerometer and gyroscope recordings for six activities.
metro-interstate-traffic,Metro Interstate Traffic Volume,,dataset,regression;forecasting,transport;traffic,multivariate sequential time series,yes,hourly,1 road segment,48204,48204,no,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/492/metro+interstate+traffic+volume,https://doi.org/10.24432/C5X60B,2026-09-22,"I-94 westbound traffic volume with weather and holiday features, 2012–2018."
seoul-bike-sharing,Seoul Bike Sharing Demand,,dataset,regression;forecasting,transport;mobility,multivariate temporal demand data,yes,hourly,1 system,8760,8760,no,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/560/seoul+bike+sharing+demand,https://doi.org/10.24432/C5F62R,2026-09-22,Hourly bike rental counts with weather and holiday information.
sml2010,SML2010,,dataset,regression;forecasting,smart home;environment,multivariate sequential time series,yes,15-minute means,1 monitored house,4137,4137,yes,See UCI dataset page,public,https://archive.ics.uci.edu/dataset/274/sml2010,https://archive.ics.uci.edu/dataset/274/sml2010,2026-09-22,Approximately 40 days of domotic-house monitoring data.
tetouan-power,Power Consumption of Tetouan City,,dataset,regression;forecasting,energy,multivariate time series,yes,10-minute,3 power zones,52416,52416,no,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/849/power+consumption+of+tetouan+city,https://doi.org/10.24432/C5B034,2026-09-22,Power consumption for three distribution zones with weather variables.
uci-air-quality,Air Quality,,dataset,regression;forecasting,climate;environment;sensors,multivariate time series,yes,hourly,1 sensor deployment,9358,9358,yes,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/360/air+quality,https://doi.org/10.24432/C59K5F,2026-09-22,Hourly gas multisensor responses and reference pollutant concentrations.
hydraulic-condition-monitoring,Condition Monitoring of Hydraulic Systems,,dataset,classification;regression,industrial;sensors,multivariate cyclic sensor time series,yes,mixed: 1–100 Hz,"2,205 load cycles",,,no,CC BY 4.0,public,https://archive.ics.uci.edu/dataset/447/condition+monitoring+of+hydraulic+systems,https://doi.org/10.24432/C5CW21,2026-09-22,"Raw pressure, flow, temperature, vibration and power measurements with component condition labels."
mit-bih-arrhythmia,MIT-BIH Arrhythmia Database,,dataset,classification;signal analysis;anomaly detection,healthcare;ECG,2-channel physiological waveforms,yes,360 Hz,48 half-hour recordings,,,see source,Open Data Commons Attribution License v1.0,open access,https://physionet.org/content/mitdb/1.0.0/,https://doi.org/10.13026/C2F305,2026-09-22,Classic annotated ECG benchmark.
bidmc-ppg-respiration,BIDMC PPG and Respiration Dataset,,dataset,signal analysis;regression,healthcare;PPG;respiration,multivariate physiological waveforms,yes,125 Hz signals;1 Hz numerics,53 recordings,8 minutes,8 minutes,see source,Open Data Commons Attribution License v1.0,open access,https://physionet.org/content/bidmc/1.0.0/,https://doi.org/10.13026/C2208R,2026-09-22,"PPG, ECG and impedance respiration signals with manual breath annotations."
sleep-edf-expanded,Sleep-EDF Database Expanded,,dataset,classification;signal analysis,healthcare;sleep;EEG,multivariate polysomnography,yes,mixed,197 whole-night recordings,,,see source,See PhysioNet license terms,open access,https://physionet.org/content/sleep-edfx/1.0.0/,https://physionet.org/content/sleep-edfx/1.0.0/,2026-09-22,"EEG, EOG, chin EMG and event markers; some records also include respiration and temperature."
mimic-iv-waveform-0-1,MIMIC-IV Waveform Database v0.1.0,,dataset,signal analysis;representation learning;clinical prediction,healthcare;ICU,multivariate physiological waveforms and numerics,yes,mixed,200 records / 198 patients,,,varies,See PhysioNet license terms,open access,https://physionet.org/content/mimic4wdb/0.1.0/,https://doi.org/10.13026/a2mw-f949,2026-09-22,"ECG, PPG, respiration, blood-pressure and other ICU signals in the initial public release."
nab,Numenta Anomaly Benchmark (NAB),,benchmark,anomaly detection,multiple,timestamped univariate streams,no,varies,58 files,,,see source,See repository license and source-specific terms,public repository,https://github.com/numenta/NAB,https://doi.org/10.1016/j.neucom.2017.04.070,2026-09-22,58 labeled real-world and artificial time-series files with an online anomaly-detection scoring framework.
smap,SMAP Spacecraft Telemetry,Telemanom,dataset,anomaly detection,spacecraft;telemetry,multivariate telemetry channels,yes,anonymized,55 telemetry channels,,,see source,See upstream dataset terms,public via linked dataset,https://github.com/khundman/telemanom,https://arxiv.org/abs/1802.04431,2026-09-22,NASA Soil Moisture Active Passive satellite telemetry; 69 labeled anomaly sequences in the referenced benchmark.
msl,MSL Spacecraft Telemetry,Telemanom,dataset,anomaly detection,spacecraft;telemetry,multivariate telemetry channels,yes,anonymized,27 telemetry channels,,,see source,See upstream dataset terms,public via linked dataset,https://github.com/khundman/telemanom,https://arxiv.org/abs/1802.04431,2026-09-22,Mars Science Laboratory rover telemetry; 36 labeled anomaly sequences in the referenced benchmark.
smd,Server Machine Dataset (SMD),OmniAnomaly,dataset,anomaly detection,IT operations;server telemetry,multivariate server metrics,yes,see source,28 machines,,,see source,See repository/data terms,public repository,https://github.com/NetManAIOps/OmniAnomaly,https://arxiv.org/abs/1903.02407,2026-09-22,Five-week server-machine dataset; benchmark metadata reports 38 dimensions per entity.
